matchup,h2h_win_rate
Albania-Algeria,0.5
Albania-Andorra,0.125
Algeria-Angola,0.1111111111111111
Anguilla-Sint Eustatius,0.5
Anguilla-Antigua and Barbuda,1.0
Albania-Argentina,0.5
Algeria-Argentina,0.5
Angola-Argentina,1.0
Albania-Armenia,0.2
Algeria-Armenia,0.5
Andorra-Armenia,0.8571428571428571
Antigua and Barbuda-Aruba,0.0
American Samoa-Australia,0.5
Argentina-Australia,0.125
Albania-Austria,1.0
Algeria-Austria,0.5
Andorra-Austria,0.5
Argentina-Austria,0.0
Albania-Azerbaijan,0.2
Andorra-Azerbaijan,0.25
Armenia-Azerbaijan,1.0
Austria-Azerbaijan,0.0
Anguilla-Bahamas,0.5
Antigua and Barbuda-Bahamas,0.0
Albania-Bahrain,0.5
Algeria-Bahrain,0.0
Angola-Bahrain,0.5
Australia-Bahrain,0.14285714285714285
Azerbaijan-Bahrain,0.0
Afghanistan-Bangladesh,0.1111111111111111
Australia-Bangladesh,0.0
Bahrain-Bangladesh,0.0
Anguilla-Barbados,1.0
Antigua and Barbuda-Barbados,0.7
Aruba-Barbados,0.75
Bahamas-Barbados,1.0
Albania-Belarus,0.3333333333333333
Andorra-Belarus,0.6
Argentina-Belarus,0.5
Armenia-Belarus,0.5
Austria-Belarus,0.0
Azerbaijan-Belarus,0.2
Bahrain-Belarus,0.5
Albania-Belgium,1.0
Algeria-Belgium,0.5
Andorra-Belgium,1.0
Argentina-Belgium,0.25
Armenia-Belgium,1.0
Australia-Belgium,0.5
Austria-Belgium,0.13333333333333333
Azerbaijan-Belgium,0.8
Belarus-Belgium,1.0
Anguilla-Belize,1.0
Bahamas-Belize,0.5
Barbados-Belize,0.0
Algeria-Benin,0.1
Angola-Benin,0.25
Antigua and Barbuda-Bermuda,0.4166666666666667
Aruba-Bermuda,0.0
Bahamas-Bermuda,1.0
Barbados-Bermuda,0.4
Belize-Bermuda,1.0
Bermuda-Falkland Islands,0.5
Afghanistan-Bhutan,0.2
Bangladesh-Bhutan,0.13333333333333333
Algeria-Bolivia,0.5
Andorra-Bolivia,0.5
Argentina-Bolivia,0.17073170731707318
Anguilla-Bonaire,1.0
Aruba-Bonaire,0.38461538461538464
Bahamas-Bonaire,0.0
Barbados-Bonaire,0.0
Albania-Bosnia and Herzegovina,0.3333333333333333
Algeria-Bosnia and Herzegovina,0.5
Andorra-Bosnia and Herzegovina,1.0
Argentina-Bosnia and Herzegovina,0.0
Armenia-Bosnia and Herzegovina,1.0
Austria-Bosnia and Herzegovina,0.16666666666666666
Azerbaijan-Bosnia and Herzegovina,0.5
Bahrain-Bosnia and Herzegovina,0.5
Bangladesh-Bosnia and Herzegovina,0.5
Belarus-Bosnia and Herzegovina,1.0
Belgium-Bosnia and Herzegovina,0.42857142857142855
Algeria-Botswana,0.0
Angola-Botswana,0.14285714285714285
Benin-Botswana,0.5
Algeria-Brazil,1.0
Andorra-Brazil,0.5
Argentina-Brazil,0.3853211009174312
Australia-Brazil,0.7142857142857143
Austria-Brazil,0.6666666666666666
