opponent,opp_code
Afghanistan,0
Albania,1
Algeria,2
American Samoa,3
Andorra,4
Angola,5
Anguilla,6
Antigua and Barbuda,7
Argentina,8
Armenia,9
Aruba,10
Australia,11
Austria,12
Azerbaijan,13
Bahamas,14
Bahrain,15
Bangladesh,16
Barbados,17
Belarus,18
Belgium,19
Belize,20
Benin,21
Bermuda,22
Bhutan,23
Bolivia,24
Bonaire,25
Bosnia and Herzegovina,26
Botswana,27
Brazil,28
British Virgin Islands,29
Brunei,30
Bulgaria,31
Burkina Faso,32
Burundi,33
Cambodia,34
Cameroon,35
Canada,36
Cape Verde,37
Cayman Islands,38
Central African Republic,39
Chad,40
Chagos Islands,41
Chile,42
China,43
Colombia,44
Comoros,45
Congo,46
Cook Islands,47
Costa Rica,48
Croatia,49
Cuba,50
Curaçao,51
Cyprus,52
Czechia,53
DR Congo,54
Denmark,55
Djibouti,56
Dominica,57
Dominican Republic,58
East Germany,59
East Timor,60
Ecuador,61
Egypt,62
El Salvador,63
England,64
Equatorial Guinea,65
Eritrea,66
Estonia,67
Eswatini,68
Ethiopia,69
FS Micronesia,70
Falkland Islands,71
Faroe Islands,72
Fiji,73
Finland,74
France,75
French Guiana,76
Gabon,77
Gambia,78
Georgia,79
Germany,80
Ghana,81
Gibraltar,82
Greece,83
Greenland,84
Grenada,85
Guadeloupe,86
Guam,87
Guatemala,88
Guinea,89
Guinea-Bissau,90
Guyana,91
Haiti,92
Honduras,93
Hong Kong,94
Hungary,95
Iceland,96
India,97
Indonesia,98
Iran,99
Iraq,100
Ireland,101
Israel,102
Italy,103
Ivory Coast,104
Jamaica,105
Japan,106
Jordan,107
Kazakhstan,108
Kenya,109
Kiribati,110
Kosovo,111
Kurdistan,112
Kuwait,113
Kyrgyzstan,114
Laos,115
Latvia,116
Lebanon,117
Lesotho,118
Liberia,119
Libya,120
Liechtenstein,121
Lithuania,122
Luxembourg,123
Macao,124
Madagascar,125
Malawi,126
Malaysia,127
Maldives,128
Mali,129
Malta,130
Marshall Islands,131
Martinique,132
Mauritania,133
Mauritius,134
Mayotte,135
Mexico,136
Moldova,137
Monaco,138
Mongolia,139
Montenegro,140
Montserrat,141
Morocco,142
Mozambique,143
Myanmar,144
Namibia,145
Nepal,146
Netherlands,147
New Caledonia,148
New Zealand,149
Nicaragua,150
Niger,151
Nigeria,152
Niue,153
North Korea,154
North Macedonia,155
North Vietnam,156
North Yemen,157
Northern Cyprus,158
Northern Ireland,159
Northern Mariana Islands,160
Norway,161
Oman,162
Pakistan,163
Palau,164
Palestine,165
Panama,166
Papua New Guinea,167
Paraguay,168
Peru,169
Philippines,170
Poland,171
Portugal,172
Puerto Rico,173
Qatar,174
Reunion,175
Romania,176
Russia,177
Rwanda,178
Saar,179
Saint Barthelemy,180
Saint Kitts and Nevis,181
Saint Lucia,182
Saint Martin,183
Saint Pierre and Miquelon,184
Samoa,185
San Marino,186
Sao Tome and Principe,187
Saudi Arabia,188
Scotland,189
Senegal,190
Serbia,191
Seychelles,192
Sierra Leone,193
Singapore,194
Sint Eustatius,195
Sint Maarten,196
Slovakia,197
Slovenia,198
Solomon Islands,199
Somalia,200
South Africa,201
South Korea,202
South Sudan,203
Spain,204
Sri Lanka,205
St Vincent & Grenadines,206
Sudan,207
Suriname,208
Sweden,209
Switzerland,210
Syria,211
São Tome and Principe,212
São Tomé and Príncipe,213
Tahiti,214
Taiwan,215
Tajikistan,216
Tanzania,217
Thailand,218
Tibet,219
Togo,220
Tonga,221
Trinidad and Tobago,222
Tunisia,223
Turkey,224
Turkmenistan,225
Turks and Caicos Islands,226
Tuvalu,227
US Virgin Islands,228
Uganda,229
Ukraine,230
United Arab Emirates,231
United States,232
Uruguay,233
Uzbekistan,234
Vanuatu,235
Venezuela,236
Vietnam,237
Wales,238
Wallis and Futuna,239
Western Samoa,240
Yemen,241
Zambia,242
Zanzibar,243
Zimbabwe,244
